Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	Further_Details	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Chr	Pos	Gene	Type	Beta	SE	P	Details
Battram T	ARIES	-	09/04/2019	Phospholipids in very large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	0.007051	0.001689	3.4e-05	-
Battram T	ARIES	-	09/04/2019	Total fatty acids	EFO_0005110	-	-	DNA methylation	Total fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-	cg13500852	chr6:15505460	6	15505460	JARID2	Open sea	-0.040543	0.009727	3.5e-05	-
Battram T	ARIES	-	09/04/2019	Hip shaft bone mineral density	EFO_0007591	-	-	DNA methylation	Hip shaft bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	cg03520771	chr6:16129124	6	16129124	MYLIP	Island	-0.002197	0.00053	3.81e-05	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	0.015439	0.003724	3.85e-05	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in large HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	0.004759	0.00115	3.97e-05	-
Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in small HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in small HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg22168321	chr6:17987573	6	17987573	KIF13A	Island	0.0017	0.000411	4.04e-05	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	0.002116	0.000513	4.26e-05	-
Battram T	ARIES	-	09/04/2019	Total lipids in very large VLDL	-	-	-	DNA methylation	Total lipids in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.069296	0.016834	4.38e-05	-
Battram T	ARIES	-	09/04/2019	Total lipids in small HDL	-	-	-	DNA methylation	Total lipids in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg22296612	chr6:15457699	6	15457699	JARID2	Open sea	-0.016134	0.00394	4.77e-05	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	650	1	-	48	-	650	650	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.100053	0.024447	4.83e-05	-
Battram T	ARIES	-	09/04/2019	Polyunsaturated fatty acids	EFO_0005110	-	-	DNA methylation	Polyunsaturated fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-	cg13500852	chr6:15505460	6	15505460	JARID2	Open sea	-0.044386	0.010861	4.94e-05	-
Battram T	ARIES	-	09/04/2019	Leg bone mineral density both	EFO_0007591	-	-	DNA methylation	Leg bone mineral density both	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-	cg06512858	chr6:21596796	6	21596796	SOX4	Island	-0.002319	0.00057	5.24e-05	-
Battram T	ARIES	-	09/04/2019	Total cholesterol in large HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	0.003555	0.000877	5.61e-05	-
Battram T	ARIES	-	09/04/2019	Low-density lipoprotein cholesterol	EFO_0004611	-	-	DNA methylation	Low-density lipoprotein cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	678	1	-	48	-	678	678	-	-	-	-	-	cg13500852	chr6:15505460	6	15505460	JARID2	Open sea	-0.008889	0.002193	5.68e-05	-
Battram T	ARIES	-	09/04/2019	Total lipids in large HDL	-	-	-	DNA methylation	Total lipids in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	0.001936	0.000479	6e-05	-
Battram T	ARIES	-	09/04/2019	Hip shaft bone mineral density	EFO_0007591	-	-	DNA methylation	Hip shaft bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-	cg06512858	chr6:21596796	6	21596796	SOX4	Island	-0.001706	0.000424	6.41e-05	-
Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in chylomicrons and XXL-VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in chylomicrons and XXL-VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	638	1	-	48	-	638	638	-	-	-	-	-	cg10626305	chr6:21801442	6	21801442	FLJ22536	Open sea	0.001053	0.000262	6.68e-05	-
Battram T	ARIES	-	09/04/2019	Phospholipids in large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	0.004508	0.001125	6.91e-05	-
Battram T	ARIES	-	09/04/2019	Hip total Z-score		-	-	DNA methylation	Hip total Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	cg03520771	chr6:16129124	6	16129124	MYLIP	Island	-0.000272	6.8e-05	7.05e-05	-
Battram T	ARIES	-	09/04/2019	Hip Wards bone mineral content	EFO_0007621	-	-	DNA methylation	Hip Wards bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg03520771	chr6:16129124	6	16129124	MYLIP	Island	-0.000563	0.000141	7.27e-05	-
Battram T	ARIES	-	09/04/2019	Ratio of conjugated linoleic acid to total fatty acids	-	-	-	DNA methylation	Ratio of conjugated linoleic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	651	1	-	48	-	651	651	-	-	-	-	-	cg21305774	chr6:17729087	6	17729087	-	Open sea	0.027206	0.006814	7.32e-05	-
Battram T	ARIES	-	09/04/2019	Conjugated linoleic acid	EFO_0006807	-	-	DNA methylation	Conjugated linoleic acid	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	652	1	-	48	-	652	652	-	-	-	-	-	cg21305774	chr6:17729087	6	17729087	-	Open sea	0.0539	0.013515	7.45e-05	-
Battram T	ARIES	-	09/04/2019	Omega 6 fatty acids	EFO_0005680	-	-	DNA methylation	Omega 6 fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-	cg13500852	chr6:15505460	6	15505460	JARID2	Open sea	-0.011604	0.002911	7.51e-05	-
Battram T	ARIES	-	09/04/2019	Ratio of apolipoprotein B to apolipoprotein A I	-	-	-	DNA methylation	Ratio of apolipoprotein B to apolipoprotein A I	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.035935	0.009018	7.53e-05	-
Battram T	ARIES	-	09/04/2019	Apolipoprotein B	EFO_0004615	-	-	DNA methylation	Apolipoprotein B	Age and technical covariates	Beta values	g/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.039677	0.009978	7.79e-05	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.121756	0.030655	7.95e-05	-
Battram T	ARIES	-	09/04/2019	Leucine	EFO_0009770	-	-	DNA methylation	Leucine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg00468410	chr6:20239552	6	20239552	-	Open sea	-0.023442	0.005905	8.02e-05	-
Battram T	ARIES	-	09/04/2019	Glycoprotein acetyls	EFO_0004555	-	-	DNA methylation	Glycoprotein acetyls	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg04664309	chr6:16168458	6	16168458	-	Open sea	0.036856	0.00929	8.1e-05	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters in very small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-	cg25419523	chr6:24877624	6	24877624	FAM65B	Open sea	0.062225	0.015687	8.11e-05	-
Battram T	ARIES	-	09/04/2019	Concentration of large HDL particles	-	-	-	DNA methylation	Concentration of large HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg25341937	chr6:17706893	6	17706893	NUP153	Island	1550.374177	391.315523	8.27e-05	-
Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg13329912	chr6:16215786	6	16215786	-	Open sea	-0.000608	0.000154	8.38e-05	-
Battram T	ARIES	-	09/04/2019	Free cholesterol in small HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg22296612	chr6:15457699	6	15457699	JARID2	Open sea	-0.146732	0.037099	8.51e-05	-
Battram T	ARIES	-	09/04/2019	Android bone mass	-	-	-	DNA methylation	Android bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-	cg03520771	chr6:16129124	6	16129124	MYLIP	Island	-0.001287	0.000326	8.56e-05	-
Battram T	ARIES	-	09/04/2019	Hip total bone mineral density	EFO_0007702	-	-	DNA methylation	Hip total bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-	cg03520771	chr6:16129124	6	16129124	MYLIP	Island	-0.002059	0.000522	8.83e-05	-
Battram T	ARIES	-	09/04/2019	Remnant cholesterol non-HDL or non-LDL cholesterol	-	-	-	DNA methylation	Remnant cholesterol non-HDL or non-LDL cholesterol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-	cg13500852	chr6:15505460	6	15505460	JARID2	Open sea	-0.025078	0.00636	8.92e-05	-
Battram T	ARIES	-	09/04/2019	Glutamine	EFO_0009768	-	-	DNA methylation	Glutamine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-	cg24636336	chr6:19805167	6	19805167	-	Island	-0.007892	0.002002	8.98e-05	-
Battram T	ARIES	-	09/04/2019	Total lipids in small VLDL	-	-	-	DNA methylation	Total lipids in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.024649	0.006265	9.27e-05	-
Battram T	ARIES	-	09/04/2019	Leg length	-	-	-	DNA methylation	Leg length	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	699	1	-	48	-	699	699	-	-	-	-	-	cg20808234	chr6:19692082	6	19692082	-	Island	-5e-04	0.000127	9.41e-05	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg10975897	chr6:15504844	6	15504844	JARID2	Open sea	-0.00135401	0.00012046	8.83e-28	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.00107238	0.00010226	1.48e-24	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg13027183	chr6:15504872	6	15504872	JARID2	Open sea	-0.00133985	0.00012806	1.87e-24	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg13189271	chr6:15365693	6	15365693	JARID2	Open sea	-0.00123762	0.00012638	9.67e-22	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Ultrasound-estimated gestational age	Table S1	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg13276502	chr6:21600485	6	21600485	-	South shelf	-0.00091032	0.00010019	4.98e-19	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg14662750	chr6:15280024	6	15280024	JARID2	Open sea	-0.0011766	0.00013355	4.98e-18	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Ultrasound-estimated gestational age	Table S1	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg13189271	chr6:15365693	6	15365693	JARID2	Open sea	-0.00084667	9.63e-05	5.92e-18	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Ultrasound-estimated gestational age	Table S1	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg10975897	chr6:15504844	6	15504844	JARID2	Open sea	-0.00101863	0.0001169	1.13e-17	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg07278165	chr6:16948028	6	16948028	-	Open sea	-0.00119548	0.00015082	5.65e-15	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Ultrasound-estimated gestational age	Table S1	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg20052079	chr6:15504923	6	15504923	JARID2	Open sea	-0.00085265	0.00010764	5.94e-15	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg06493612	chr6:15502050	6	15502050	JARID2	Open sea	-0.00068858	9.28e-05	2.35e-13	-
Bohlin J	-	27717397	2016-10-07	Gestational age	EFO_0005112	Last menstrual period-estimated gestational age	Table S2	DNA methylation	Gestational age	Offspring sex, maternal age, maternal smoking, study design, caesarean section and cell counts	Beta values	days	Illumina HumanMethylation450	Cord blood	-	1068	1	-	0	568	500	1068	-	-	-	-	-	cg26076724	chr6:15090163	6	15090163	-	Open sea	-0.00113972	0.00015412	2.86e-13	-
